product_id,product_name,primary_category,discounted_price_value,actual_price_value,discount_rate,rating_value,rating_count_value,business_priority_score,customer_trust_index,revenue_opportunity_score,recommended_action
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,309.0,1400.0,0.78,4.4,426973.0,0.6709375846683104,1.0,0.026294181414626302,Monitor and optimize merchandising placement.
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,219.0,700.0,0.69,4.4,426973.0,0.669066365784743,1.0,0.011592576774001146,Monitor and optimize merchandising placement.
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,219.0,700.0,0.69,4.4,426972.0,0.6690662750160219,0.9999998192530207,0.01159257467977291,Monitor and optimize merchandising placement.
B07GXHC691,"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics,99.0,499.0,0.8,4.3,42641.0,0.655359813407435,0.8034149946967016,0.007927226922126598,Monitor and optimize merchandising placement.
B09WN3SRC7,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black),Electronics,77990.0,139900.0,0.44,4.7,5935.0,0.6224533972414826,0.7122088959129803,1.0,Monitor and optimize merchandising placement.
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),Electronics,349.0,999.0,0.65,4.1,363713.0,0.6129029365114769,0.9203293030918497,0.015471878782343552,Monitor and optimize merchandising placement.
B071Z8M4KX,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),Electronics,365.0,999.0,0.63,4.1,363711.0,0.6082946657944027,0.9203289078455984,0.015091026054419466,Monitor and optimize merchandising placement.
B08GTYFC37,"SanDisk 1TB Extreme Portable SSD 1050MB/s R, 1000MB/s W,Upto 2 Meter Drop Protection with IP55 Water/dust Resistance, HW Encryption, PC,MAC & TypeC Smartphone Compatible, 5Y Warranty, External SSD",Computers&Accessories,10389.0,32000.0,0.68,4.4,41398.0,0.6064991000496502,0.8197044239833011,0.427099760424203,Monitor and optimize merchandising placement.
B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),Electronics,379.0,999.0,0.62,4.1,363713.0,0.60550707780923,0.9203293030918497,0.014757792069312313,Monitor and optimize merchandising placement.
B08VB57558,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers",Electronics,37990.0,74999.0,0.49,4.2,27790.0,0.6030705372903211,0.7532586245399765,0.7039917674954544,Promote: high trust with meaningful revenue upside.
